ISO country code,Country,Sub-national region,World region,MPI National,MPI Regional,Headcount Ratio Regional,Intensity of deprivation Regional,lat,lng
AFG,Afghanistan,Badakhshan,South Asia,0.295,0.387,67.5,57.3,36.7347725,70.81199529999999
AFG,Afghanistan,Badghis,South Asia,0.295,0.466,79.3,58.8,35.1671339,63.7695384
AFG,Afghanistan,Baghlan,South Asia,0.295,0.3,59.7,50.3,35.8042947,69.2877535
AFG,Afghanistan,Balkh,South Asia,0.295,0.301,55.7,54.1,36.7550603,66.8975372
AFG,Afghanistan,Bamyan,South Asia,0.295,0.325,61.0,53.3,34.8100067,67.8212104
AFG,Afghanistan,Daykundi,South Asia,0.295,0.313,65.1,48.1,33.669495,66.0463534
AFG,Afghanistan,Farah,South Asia,0.295,0.319,61.4,52.0,32.4464635,62.1454133
AFG,Afghanistan,Faryab,South Asia,0.295,0.25,49.4,50.6,36.0795613,64.90595499999999
AFG,Afghanistan,Ghazni,South Asia,0.295,0.245,47.4,51.6,33.5450587,68.4173972
AFG,Afghanistan,Ghor,South Asia,0.295,0.384,74.6,51.5,34.0995776,64.90595499999999
AFG,Afghanistan,Helmand,South Asia,0.295,0.261,61.8,42.2,31.3636474,63.95861110000001
AFG,Afghanistan,Herat,South Asia,0.295,0.353,63.3,55.8,34.352865,62.20402869999999
AFG,Afghanistan,Jawzjan,South Asia,0.295,0.293,60.9,48.1,36.8969692,65.6658568
AFG,Afghanistan,Kabul,South Asia,0.295,0.117,25.3,46.1,34.5553494,69.207486
AFG,Afghanistan,Kandahar,South Asia,0.295,0.4370000000000001,72.1,60.7,31.628871,65.7371749
AFG,Afghanistan,Kapisa,South Asia,0.295,0.28,53.6,52.3,34.9810572,69.6214562
AFG,Afghanistan,Khost,South Asia,0.295,0.29600000000000004,57.8,51.1,33.3338472,69.9371673
AFG,Afghanistan,Kunarha,South Asia,0.295,0.269,58.3,46.2,34.8465893,71.097317
AFG,Afghanistan,Kunduz,South Asia,0.295,0.294,60.5,48.5,36.7285907,68.8680663
AFG,Afghanistan,Laghman,South Asia,0.295,0.369,70.4,52.4,34.6897687,70.1455805
AFG,Afghanistan,Logar,South Asia,0.295,0.187,41.4,45.2,34.0145518,69.1923916
AFG,Afghanistan,Nangarhar,South Asia,0.295,0.287,54.9,52.4,34.1718313,70.6216794
AFG,Afghanistan,Nimroz,South Asia,0.295,0.231,45.4,50.9,31.0261488,62.4504154
AFG,Afghanistan,Nooristan,South Asia,0.295,0.611,93.7,65.2,35.3250223,70.90712359999999
AFG,Afghanistan,Paktika,South Asia,0.295,0.13699999999999998,28.1,48.6,32.2645386,68.52471489999999
AFG,Afghanistan,Paktya,South Asia,0.295,0.218,45.2,48.3,33.706199,69.3831079
AFG,Afghanistan,Panjsher,South Asia,0.295,0.12,25.8,46.6,35.5025772,69.9550338
AFG,Afghanistan,Parwan,South Asia,0.295,0.294,58.6,50.1,34.9630977,68.81088489999999
AFG,Afghanistan,Samangan,South Asia,0.295,0.35,64.3,54.4,36.3155506,67.9642863
AFG,Afghanistan,Sar-E-Pul,South Asia,0.295,0.341,67.8,50.3,35.6707473,66.0463534
AFG,Afghanistan,Takhar,South Asia,0.295,0.361,65.1,55.4,36.6698013,69.4784541
AFG,Afghanistan,Urozgan,South Asia,0.295,0.624,94.5,66.0,32.9271287,66.1415263
AFG,Afghanistan,Wardak,South Asia,0.295,0.34,67.9,50.1,34.3513494,68.2385339
AFG,Afghanistan,Zabul,South Asia,0.295,0.175,34.6,50.4,32.1918782,67.1894488
BDI,Burundi,Bujumbura Mairie,Sub-Saharan Africa,0.454,0.16399999999999998,36.3,45.3,-3.4146958,29.3598782
BDI,Burundi,Nord,Sub-Saharan Africa,0.454,0.501,85.7,58.4,-3.373056,29.918886
BDI,Burundi,Centre-Est,Sub-Saharan Africa,0.454,0.473,83.6,56.5,9.0630758,7.4649479
BDI,Burundi,Ouest,Sub-Saharan Africa,0.454,0.499,87.8,56.8,-3.373056,29.918886
BDI,Burundi,Sud,Sub-Saharan Africa,0.454,0.422,78.9,53.5,-3.373056,29.918886
BEN,Benin,Alibori,Sub-Saharan Africa,0.307,0.528,92.7,57.0,10.9681093,2.7779813
BEN,Benin,Atacora,Sub-Saharan Africa,0.307,0.454,85.7,53.0,10.7954931,1.6760691
BEN,Benin,Atlantique,Sub-Saharan Africa,0.307,0.278,57.3,48.5,6.6588391,2.2236667
BEN,Benin,Borgou,Sub-Saharan Africa,0.307,0.35100000000000003,71.4,49.2,9.5340864,2.7779813
BEN,Benin,Collines,Sub-Saharan Africa,0.307,0.292,62.0,47.1,8.3022297,2.302446
BEN,Benin,Couffo,Sub-Saharan Africa,0.307,0.345,71.2,48.5,7.003589400000001,1.7538817
BEN,Benin,Donga,Sub-Saharan Africa,0.307,0.335,70.2,47.7,9.7191867,1.6760691
BEN,Benin,Littoral,Sub-Saharan Africa,0.307,0.083,20.1,41.4,6.3806973,2.4406387
BEN,Benin,Mono,Sub-Saharan Africa,0.307,0.259,56.1,46.1,6.6607182,1.7538817
BEN,Benin,Ouðmð,Sub-Saharan Africa,0.307,0.238,51.6,46.1,,
BEN,Benin,Plateau,Sub-Saharan Africa,0.307,0.34700000000000003,71.8,48.3,7.3445141,2.539603
BEN,Benin,Zou,Sub-Saharan Africa,0.307,0.334,67.3,49.7,7.346926799999999,2.0665197
BFA,Burkina Faso,Boucle de mouhoun,Sub-Saharan Africa,0.535,0.591,91.9,64.3,12.4166,-3.4195527
BFA,Burkina Faso,Cascades,Sub-Saharan Africa,0.535,0.493,84.4,58.4,10.4072992,-4.5624426
BFA,Burkina Faso,Centre,Sub-Saharan Africa,0.535,0.207,43.9,47.3,12.3425897,-1.443469
BFA,Burkina Faso,Centre-est,Sub-Saharan Africa,0.535,0.58,91.6,63.3,11.5247674,-0.1494988
BFA,Burkina Faso,Centre-nord,Sub-Saharan Africa,0.535,0.575,93.6,61.4,13.1724464,-0.9056623
BFA,Burkina Faso,Centre-ouest,Sub-Saharan Africa,0.535,0.5539999999999999,86.6,64.0,11.8798466,-2.302446
BFA,Burkina Faso,Centre-sud,Sub-Saharan Africa,0.535,0.513,86.8,59.1,11.5228911,-1.0586135
